id,city,city_ascii,province_id,province_name,lat,lng,population,density,timezone,ranking,postal,city_id
942,East Garafraxa,East Garafraxa,ON,Ontario,43.85,-80.25,2579,15.5,America/Toronto,3,L9W,943
943,Pemberton,Pemberton,BC,British Columbia,50.3203,-122.8053,2574,217.5,America/Vancouver,3,V0N,944
944,Unity,Unity,SK,Saskatchewan,52.4333,-109.1667,2573,244.6,America/Regina,3,S0K,945
945,Rimbey,Rimbey,AB,Alberta,52.6333,-114.2167,2567,225.1,America/Edmonton,3,T0C,946
946,High Prairie,High Prairie,AB,Alberta,55.4325,-116.4861,2564,355.3,America/Edmonton,3,T0G,947
947,Turner Valley,Turner Valley,AB,Alberta,50.6739,-114.2786,2559,442.1,America/Edmonton,3,T0L,948
948,Hanna,Hanna,AB,Alberta,51.6383,-111.9419,2559,290.6,America/Edmonton,3,T0J,949
949,Fort Smith,Fort Smith,NT,Northwest Territories,60.026,-112.0821,2542,27.4,America/Yellowknife,4,X0E,950
950,Maria,Maria,QC,Quebec,48.1667,-65.9833,2536,26.7,America/Montreal,3,G0C,951
951,Saint-Chrysostome,Saint-Chrysostome,QC,Quebec,45.1,-73.7667,2522,25.2,America/Montreal,3,J0S,952
952,Greater Madawaska,Greater Madawaska,ON,Ontario,45.2722,-76.8589,2518,2.4,America/Toronto,3,K7V K0J,953
953,Berwick,Berwick,NS,Nova Scotia,45.0475,-64.736,2509,381.3,America/Halifax,3,B0P,954
954,Saint-Damase,Saint-Damase,QC,Quebec,45.5333,-73,2506,31.7,America/Montreal,3,J0H,955
955,Lincoln,Lincoln,NB,New Brunswick,45.8716,-66.5437,2504,98.2,America/Moncton,4,E3B,956
956,Disraeli,Disraeli,QC,Quebec,45.9,-71.35,2502,362.1,America/Montreal,3,G0N,957
957,Sainte-Victoire-de-Sorel,Sainte-Victoire-de-Sorel,QC,Quebec,45.95,-73.0833,2501,33.5,America/Montreal,4,J0G,958
958,Meadow Lake No. 588,Meadow Lake No. 588,SK,Saskatchewan,54.1213,-108.2837,2501,0.4,America/Regina,4,S0M S9X,959
959,Elkford,Elkford,BC,British Columbia,50.0214,-114.9158,2499,24.6,America/Edmonton,3,V0B,960
960,Georgian Bay,Georgian Bay,ON,Ontario,44.9833,-79.8167,2499,4.6,America/Toronto,3,L0K P0E,961
961,Saint-Alexandre,Saint-Alexandre,QC,Quebec,45.2333,-73.1167,2495,32.8,America/Montreal,3,J0J,962
962,Hérbertville,Herbertville,QC,Quebec,48.3473,-71.6784,2491,9.5,America/Montreal,4,G8N,963
963,Moosomin,Moosomin,SK,Saskatchewan,50.142,-101.67,2485,327.5,America/Regina,3,S0G,964
